IDX,iForest_AnomalyScore
0,0.125420
1,0.110788
2,0.073305
3,0.143488
4,0.124389
5,0.100286
6,0.134246
7,0.111047
8,0.143997
9,0.115868
10,0.129543
11,0.119813
12,0.077716
13,0.119982
14,0.146147
15,0.114062
16,0.119271
17,0.123796
18,0.143594
19,0.132570
20,0.081739
21,0.092877
22,0.146659
23,0.143106
24,0.123085
25,0.091722
26,0.139973
27,0.080281
28,0.049129
29,0.135017
30,0.101627
31,0.107841
32,0.132380
33,0.126371
34,0.109414
35,0.126643
36,0.115588
37,0.101997
38,0.113259
39,0.131933
40,0.146328
41,0.132174
42,0.135456
43,0.143285
44,0.123072
45,0.121418
46,0.129088
47,0.119296
48,0.133676
49,0.115734
50,0.120726
51,0.075029
52,0.103403
53,0.127358
54,0.119183
55,0.110907
56,0.071361
57,0.134331
58,0.090153
59,0.138044
60,0.060555
61,0.135404
62,0.123291
63,0.056763
64,0.108547
65,0.118368
66,0.118906
67,0.140223
68,0.081497
69,0.094415
70,0.126076
71,0.113831
72,0.150147
73,0.125160
74,0.118807
75,0.093351
76,0.097063
77,0.139486
78,0.140499
79,0.109488
80,0.114854
81,0.101095
82,0.087819
83,0.114709
84,0.122042
85,0.125360
86,0.095489
87,0.116908
88,0.093062
89,0.106267
90,0.116729
91,0.109749
92,0.133354
93,0.121033
94,0.127285
95,0.102520
96,0.137598
97,0.123424
98,0.133212
99,0.146555
100,0.135818
101,0.110482
102,0.149395
103,0.130047
104,0.144074
105,0.135594
106,0.125212
107,0.118044
108,0.058606
109,0.105660
110,0.112804
111,0.070491
112,0.146784
113,0.129487
114,0.062100
115,0.132328
116,0.129509
117,0.075886
118,0.115289
119,0.074722
120,0.083215
121,0.029048
122,0.108659
123,0.111818
124,0.149672
125,0.133637
126,0.113769
127,0.100187
128,0.142413
129,0.122733
130,0.124880
131,0.113134
132,0.137430
133,0.129763
134,0.099249
135,0.093456
136,0.125564
137,0.137485
138,0.110588
139,0.125449
140,0.140100
141,0.110226
142,0.130639
143,0.096176
144,0.138397
145,0.120494
146,0.111451
147,0.132965
148,0.140099
149,0.103383
150,0.101563
151,0.122632
152,0.143669
153,0.139811
154,0.121257
155,0.118089
156,0.087805
157,0.111739
158,0.112306
159,0.098870
160,0.134400
161,0.085249
162,0.135764
163,0.119757
164,0.077933
165,0.117096
166,0.131834
167,0.113679
168,0.127461
169,0.107206
170,0.127470
171,0.106068
172,0.107631
173,0.131274
174,0.146356
175,0.104403
176,0.124001
177,0.136014
178,0.100295
179,0.077092
180,0.136683
181,0.084966
182,0.119343
183,0.129203
184,0.142624
185,0.098718
186,0.117641
187,0.078745
188,0.116420
189,0.084877
190,0.090063
191,0.118224
192,0.114556
193,0.098901
194,0.120409
195,0.128937
196,0.085415
197,0.130477
198,0.110052
199,0.098048
200,0.139363
201,0.142910
202,0.126279
203,0.100063
204,0.125468
205,0.138179
206,0.067798
207,0.117112
208,0.144930
209,0.071195
210,0.124672
211,0.143196
212,0.135660
213,0.087811
214,0.096887
215,0.105352
216,0.112365
217,0.125869
218,0.116581
219,0.107440
220,0.043995
221,0.103324
222,0.057286
223,0.120874
224,0.114014
225,0.106028
226,0.128926
227,0.132580
228,0.102507
229,0.067940
230,0.130614
231,0.142028
232,0.139307
233,0.092333
234,0.108752
235,0.110935
236,0.102547
237,0.126512
238,0.118722
239,0.122176
240,0.136818
241,0.079595
242,0.082527
243,0.121887
244,0.097103
245,0.112605
246,0.077209
247,0.140102
248,0.132199
249,0.069111
250,0.094059
251,0.141978
252,0.108106
253,0.064769
254,0.117927
255,0.098632
256,0.131048
257,0.113691
258,0.143582
259,0.112594
260,0.093594
261,0.116922
262,0.096114
263,0.113703
264,0.117398
265,0.105598
266,0.110827
267,0.137971
268,0.123015
269,0.139175
270,0.149575
271,0.135884
272,0.110462
273,0.115864
274,0.115634
275,0.114608
276,0.149710
277,0.076646
278,0.113725
279,0.111657
280,0.137261
